task_id,task_hash
d1_task_016,0271af701b2223c159723455504469d26fcb3b0c8d98ba9135583092b1aa422d
d5_task_004,73aea2a0d9f87a1eff8888b92d2ffc083ef61114021090722a998cf4359d50d5
d5_task_035,436ef8b8e2b7b9a2eaece2fc71352693ae5471bd86c07429c9a4bc71bdac89c8
d1_task_026,e0d976527658593850804b3c9dc6e681f850c75a520a0b5f8e0b0a0a15d7c371
d3_task_028,90db0ee1e7e1f7892e8daf83a6f12bafc1990953db3d28419e108281f1e0d8da
d3_task_019,3074382fc5aa31cf0b65d7dd1fc2ae14b108858caa1c5bcee04db5993cd22815
d5_task_046,d3f0b9145e879d2d4c319fa6cea9a10bd61074aa50fdc3b0933baee6b7221885
d5_task_018,188f2f00d64e3f5c719d070f44d2e332434c43d84e15ac7175ba2f9fd0bfe861
d3_task_018,ac5e6f91f754b519f603d7af0817abf1c6c8f92d8b770da6ff3cac97309c1cc5
d5_task_005,5d32e6eb543e86705a2b588991cb728447dd8ad421927a00e20901636c4e9464
d1_task_032,a56d73b2692323db3e2b889120833456685cb6a726c760f7639f27ec01c03811
d3_task_045,7ecf9696bc0240667033131720ac642ff661f97c8e20dd9762186212b453a33b
d1_task_008,7346878817c475d61249351c257ed3322b0fcff22b806c38805e50b14f4c4191
d5_task_012,9166dab7c4dbb83acc12f044a71c655f991f4753e22ebaf55bc8c1532d9f5d0d
d3_task_044,59577721fa0a8f6454e88a414cab8f60beaaaffdcbf5bf1b1210e2bac3b5356c
d1_task_004,1e8a7d9debf5e38112c2b26e24cb2b9b3a7f6e5b73bfc24b2d5f12a2c273e034
d3_task_049,47e93baa7ab1b22343a2cc940a2a8283995042345de70035be3d616fc8a7b4df
d3_task_042,c88338e60e0e464f265d3659a9ae7c768957e2b92c4a0a0cff5cb9aad23bba9b
d5_task_040,13c57d91074aa7202179d03034b692e6faf9c99b8b8b31bb651c3aae023bb4e4
d5_task_008,10f615f7f424bf610bba1e0712bfe884488522bf3c67667cfa2c70e54e38a315
d5_task_017,5ba6b0a447237375814acd741833c359917cba2b3836cf06ad0dd3cf82467822
d5_task_023,382a85582dcc3d67ce9e2e67d62b53b124902dd1082fb2b9afc1280a62c8589b
d5_task_001,736002e4492f3ddcf63bfa2d06b22f6c543bf975e6a1c432d664357bc3f23a9c
d1_task_027,68591355aa7bf5e8388492eccc8d8bd2e2b2d4b4fa1a8171f255fb281d6a75c6
d5_task_011,c3a4e2b31326a981ef9b86a4143d09e36ad6589c9e9138d8c3dc71f8b1a5698b
d1_task_022,9e4832a6ea421daeef1426400bdab409ca2589f041f36d703a827dd1e35a1b9a
d1_task_047,a8eb162066d08f7988a293786fc09bb22797da2f86b01599f6325c4137ceebd1
d1_task_042,9707dd2d96c5a8caa159268d5132f70281706870e68b3a05fcedfeff59cf9ad7
d5_task_042,9a62571d2d8598562fb165248445a28404818624eaa97542b5a4d3fd556db7bb
d5_task_026,a3c51f9bfa2e1a64a48ef67ae5ffd10f3b8979e2da817bc12d8e1217cb235e63
d3_task_015,a326df227649edea4d2c6e8f85144c4bb3bd65fbc5fa9ad6c9b158ff5ad89ef5
d3_task_024,2488733d960cf5b8c8dc475d8d264b291f6096043314e83a515431dcd5c2c42e
d5_task_037,70edf6aa2ce02fb9e2fdd668320dfb147e9bc874272524f454b75e49f522a014
d1_task_048,93d804a4e4a8f2c3a8a24fdaf98227dea4261da22f86c017c558cafa4a9271a1
d1_task_009,46b6f6426f75bcf716b2a0cd315eabf6ee2575aa0b1df6727ea6c9a211684f60
d3_task_017,d22733636a3705ac01a00e099cba9915332f645b2a3360610fe6281e13caf2e4
d5_task_002,a6832a6e577ff8358de9751f7cd439966e47a821fd61057fb61f5b71837b82f3
d3_task_023,10647476a499f9c3f5f9551d1769b00539e31e92e0bfebac14defbd31ea7f04d
d1_task_002,cd883c29e85864d2db0c88a008c9f790837e8d44b1457c827ba97b784ccc3770
d3_task_030,883e56257c767ce2b27ca9f4c960e6409f28e0f8403f827e3c7208f290e54360
d5_task_036,56cef9650bc50f1648f102d39c4bcf1330598ca67a18daeb04077903f847b711
d3_task_036,25d149d3819fa0cdfdb772eab74ab6b53530e924362a82363b9d9bebec295fb0
d3_task_006,2c2bf35609b6e6a3b6a7d175e058ca3e4a67e683f5b2d99f5793b69fda4c3573
d5_task_049,948f7fab5ea3752f0d4a247351dbfe30de6063068fdac280551e6f5809c6c1fe
d3_task_035,cd400c41517c6e69b4a3cf5009829a224ca9b4479f6e560640e64c3dbe712c3d
d1_task_019,eca7ed78b9b6dac8bcab6fd17c5e46e7492d8ce01aa7a840018fdbd6a50ed545
d5_task_047,0c768168dcdcf9c96226cf2950148d4bf5ca855b9a27ac3d233905a1e17de140
d3_task_000,d9bae633459acf121a7144d668e4dabde08808b6b5c59899ba46c8a5f1307f62
d1_task_013,3b920ded507f4a95700d0af776b561b09f0b0b9c37c0cddbf3d157d25aae5226
d3_task_033,0171bb05b9730976312927f7198d61daa8beed4059b05bcf38bbf8901a8ce116
d5_task_032,070801f1b7380f9ddee9d821f39a7f78062f54be703f1a0b628eeea34a92034f
d3_task_011,f10cf53908ed677d7d7443fc27bfc3ea067d85a46cdd2988843b54070d47306a
d5_task_027,149f36a999e8335938bb4d993959baf0d66abf12d56d04c2208ea41454dc14e9
d1_task_001,0ef913adb7905d76d2fcf132c4a63a3ad5e8da4f534de099cbfabdbdfc982649
d3_task_003,90277645f56cfe3ce78bd176db9422606c3c737d07339a0190476dfd8fa5094b
d1_task_034,1ea91a18d5d40de7d8fc06790124045549dae79c015a42963e8935960254629d
d1_task_045,fdfeaa82938641e18056658f938153c96ddf1da12dc91d9d09de4520f9f80079
d5_task_030,c7ae42e2e24637e3fd99106e911e84549d5aa1279b768d3ca4b2ecc2850cabd2
d5_task_009,1d7e94b7ac7c57a36d448264bbcf7bcee906d3ccd5fd27f23f087d4b54861bf3
d3_task_032,fce02ffc0dbe48332cffc1c7a178cc640aa8bca3de1bcf610be12528696260c7
d3_task_013,c273ed44cb7d30cb6a1d806afa4cd06d147ba02f634eeb925bf3ce1fbabd017f
d3_task_022,a98feb14f5777a2936299803cb1ffa56b1a7464ba4e43219ad100bcfe23c3179
d1_task_017,7ee68e4776bf04e2521f8a3299105a2fc765cfe4bac9871bd82da6241d89c6c1
d5_task_048,a8d8b76773b9d90d175c25922e0b635b4995842c9f4e28ab8916a2dd03273481
d1_task_040,ce7a03d87236c89c4a65bb21426b401c6110652489cf0480082657b2c0fb3c19
d5_task_016,1e3832cdbed1e51516bce5c115eb210681b88bd695f77c3d42c8da420ca5595c
d1_task_020,dab0b044c16bc1727547666544552f1aee92668c45ccfcb3bba6c9c93fc75bed
d1_task_046,9c8ca092f436bfc191e2e763ef101f81d5e1357768a89d49304048ea25d776dc
d3_task_020,5f9002a02b76cb425542f68648de48c1180c732cba1c50ea3e93997c762b1d9a
d3_task_040,080354986a8e7dd74809c0b5017f982892c9d182b579c811c9e30fc09b395e50
d3_task_026,e99d833940421e179dc98dc5505c704431907144859f6cb3993e7594120e3ce0
d5_task_024,a8667839d1975805659395a603b195ebe7812265ddcbc32a26888606fa3fd5c2
d1_task_038,5511916c5aad824a919f96fba34bcdbb7ff2318489b8aab6eb05388009493083
d1_task_031,2e59ffd90274c079166c468eeee4c2a38da998d53a3be2cd392a0dfc93fd477b
d3_task_048,53232a0db9aa5d854d40e9c84be9852205ab084d80ccfa764bb47aafd8f548c9
d1_task_014,b8de5e0a73439c347705665b35b0a7955cd859113ecff0542d7e47f8e1b2fbf5
d5_task_029,d2925104278ab4313eb9def610c19fd78fb986241f0221b8df77b399de46e3fd
d5_task_028,35c951891c2bea028a1c93548529ab66b3d419e875469fd7ccc08d15f90ac6d4
d1_task_028,5153e84b801d765e69bdf8bddd4f65f1991350372035e3260cd7c664816e2392
d3_task_002,2a1d723babed3ab456c82a7e53fa6db3d7e23fb75e4f86e4272366e5982bac36
d1_task_006,3aa1135be5a7476629cd1705241dda4e67ee4b9937c49aaf23777bc3aad222a3
d3_task_010,778cde1c1cf881188bd26e2933a09377344efd6ac6fe5ab598bf97275de89130
d1_task_015,f6533f1906db23b75fa18aecfacc5fd4a57e9299b83bdde58e0f5f55e3660a31
d1_task_003,76c001096fa21a7301e797dc89b0b85d104eee7881aed21b8fba0eb09967251d
d1_task_000,202c26d0e65612ee8904696a18f78d693bf066d637a6f62306f9c3bec1292633
d1_task_043,c193feb4c0a412f139505764c74f1191c31ad0e59bd92aecb2d0ce8babfaf565
d5_task_007,87da4e9f4859381c94419e31d50fd0880abedb98009c42a7a6e0ae65962f69e8
d3_task_014,d5f57c7fc3b72915c2bf7b3bbceb866ad1a1c46186b783458c16559a7b782529
d5_task_045,61fe4b059ff7d43693bc0a4c619fe62199712d73b6a4552c4bd543dad08e37a2
d1_task_036,73f5b02cdba6e8a1fdacc044a93360aea2bdd426801ac82143689d27ca228878
d3_task_005,744a131ec9f2f3962ed7f60c75b429b4eb32d401a1a462435ba65d754ceaa006
d1_task_010,bdd3f4720deadd2f3f0a004a7c6acaec05b9dbdd95a8fb8cdf1151b326aab5e4
d1_task_005,900d6a5702ceb8bafcb1234f4f17e4a1ac877ad0fed04ad1a8a5a0bd67025472
d3_task_031,5470741d172e7b77ba949e6f17135527b91c55402016981be70fe1d9fe618a9a
d5_task_021,d2bd5ad1b53b7848afdc2f6d2a23ab65985198487e381cd706eef3faa6f6860e
d3_task_046,56563e4309d7fff8ab6db1c6bf38cfd2b3901a7059094965dfd6a13e8f24714c
d3_task_047,27722b17efecba43e8ab6e4b8f87a55d6b4f5909fbd2f313bd5bfdd5f7626070
d3_task_037,f7244c1961667955001ac7366410b6467d1568572c7402556aedfc42ce445fdc
d1_task_024,1f3485fbe8fa9e8150213b4aa5d89d0cb49334e20b018126a32002c04ac799fc
d5_task_014,1092f809c3b5d89670bb7f456cbfe1f677de677f4640ac53d7582e9117f33748
d3_task_009,1e1064279b75f109fedcace921f87757042614ba6dbd278c0bb8f3a06cfa7a31
d1_task_037,0c1bb6ad6c416fc4b28850db1f0f40ca3d2d03ef2ed45387023d2ec467a82028
d3_task_029,7cf21499955b024b36fcec80323d796c08165c2485f63612ea0d37151565ba46
d3_task_034,398cefc25a2dabda2442a4d0bf5f3ef2fa8a192602cc5dccdcc7ad0ad403a641
d1_task_023,ddbf81cd66a141419444c4e2396162f61c89455e10c894fff2b97780651db115
d3_task_039,151ecbfd83dc68a09098dc0ec5cae0036a031fec084bcf4995b19e0b9028f7f1
d1_task_033,8e3d837298aed38993a717bd429b8c05816cc5b74be8d831616907aba585f39f
d1_task_030,bb5d888a533146bd7d607d0949a92138e7ed7a75e267902c1a2ce88e2d245f4c
d3_task_038,210c1e3ce0ad9882f29d66a53cd63026e2362a1eb5cc91ee0eaf7f0150240e8e
d5_task_003,0964d73456012522ffdeea4410214047e5f2ecb4c97b800c9f21f7ea37f25259
d1_task_039,1a0f67f55d397f6fbba9a6a3692af51ebaf086a1c712d7cb8e4a4549dfc38d00
d3_task_027,4974bc9cc7491c10da3754df34682b35ad1fa544f57a946e4371e9e8b07b690e
d3_task_012,95efc0310d1ab6b4972aadf7f6fdb209bccacae08b0ab540af31c82dd5b721e3
d5_task_020,12065170d7cdb32428965b1b6c74a28a848a1788dc1faed018ce41b21a724028
d1_task_007,e284ef94e18d69256b3af95077dda6c259b2ac0e182981dd4363145b4577c42a
d5_task_033,86b2a69f3a00a935226eedc71a570b2dd02bef697ae8b56f07425d679ecd0475
d3_task_001,0b9dd63c5beb4768a4c62ed06b727c7091a46a696559d250f612e213bb9a335d
d5_task_019,082f97b918f7fd76c83ed32a136a60dbec46424c59d263e28c552a8f4bde7808
d5_task_015,9d7575ab6a4e314817663b1fdea3801f63795396f1c2236de6609331128f8428
d5_task_044,070cea9f66fe1744e509c71e6e214a292ec86995d3d23307861b8e2a3d1d25b6
d3_task_043,c33a92df4960df9fc88e9f01bb6ec9193708dc47339cb47cbbe20f61ffd7f938
d3_task_025,db3186812a4b710f44844665d0d2a37a65337c5b3c4f24ace5203dac58a097da
d1_task_021,564d473fc59ca30ca1b59bb32d357fb554d61cf58c8586a18a0d03add06507aa
d1_task_018,e4ae68797f8f977231a91c3ed464d05c38f2986916fbb12bd2323b367b700602
d1_task_012,27a3e29b20b052d8618422947b5314e2c65cf2b2fb8fee63dca8be3044f6d890
d3_task_021,4b880e802ecc7bb24fb66fd17137ff4cd02fde115b59620f066a1649b51766b6
d1_task_011,bfd40e6f61ff24f15ed27ecb1bf405d858a0650e1ef1af130ca58569f6e702c7
d5_task_043,20e72ce1cd95eb1d6d4d3d09a41b5abeb319a16b4e5ebe855d66aec6dfda991e
d5_task_031,96ec9061762fb45d7d1ac01a0131316dc2a86f596575964e6f28f9df3cc7c01c
d5_task_041,1dfa38576c92ac5ad1561a5d29a3f2d65e9273b42de4c943cbefa04562520440
d1_task_041,d7f8bad1091e893119e68325f00602bddaf58d6559391d9312880436f6cd721c
d5_task_022,8f178fd3925f0e4a1380395a3629ea7c9fa4d11824b3f516cb19bc4169026809
d5_task_034,f44cfdbec3af3f7dec0f10a682379d9e6daf827324825787df6da01da9e4e833
d5_task_000,18ca34d73e99ba0c818174b646ab93b362fd47c69331de801e361f9baf866123
d5_task_006,1ba3edee90f010d2cc1b60cf63f6277af7729aab61ac1c1c4f8b6880a09790a6
d1_task_044,e746aacf2a57ae23ccc16fba686cd3eec26f296154636db410bd8bf57fb71e29
d3_task_008,01f1512f87b48477f45261cdb3bceb1437343aa7b8fd05dd5ef454e31e0e94c8
d1_task_025,fae2e46099129bba47a623ff657403580361daee055f73539c8673acca39791c
d5_task_010,517ec752ecd292b267d872318592e2492fa9d2bf02a40887eb7b16ac2b8fcb4c
d1_task_049,ddbafde69e27b7bc389e900702fa530e955a0c60fcb3035e8aa9112009dd38ec
d5_task_013,b992b42512652b85268559d0e62a971205407ad81927f7a363c801cb50cc1f15
d3_task_016,ea98bac5fbac9889ccb93a7efff56a1f10b27e7654691ddb8ca2584c926343db
d1_task_035,b79e9ca7710ac4d274e55eb64a9f76e879cfee3a96836ef2029999e91b6ee734
d5_task_039,de06819a6a7ca512e8a490fe2839e4d4c70ebfb6eecd033976d94cc68b16ad62
d3_task_007,167508a4dc8509a176a2d74293ce48d58e7f201b1831c7853dbc238c06d51415
d3_task_041,3a2407ce695a75ed572da7a6d299d7764bfdd92f1e7b8e2a6304433f7a4fd158
d1_task_029,dfa76ecbe3cef2a53b8d884b087eb97e3a5fc47a5ce917c5a374f306c2547eb0
d3_task_004,6a9fca0ab1d3fdfaac9bbd2d23d6f9e0ebc877b6d5952c1ad9568adc80627f57
d5_task_025,d7ab3696aa312db6fcf358847064e3be8ea0172dc3ef151d1d2522cf2dbbf8a8
d5_task_038,f6a4a7dc76233b29073292c192d5acc091c526143977a3892e739903c8aca87d
